date,publication,sentiment
2019-10-31,The Verge,-0.2530841121494381
2019-11-30,The Verge,-0.24556962025304022
2019-12-31,The Verge,-0.30368311327289527
2020-01-31,The Verge,-0.22353937341226776
2020-02-29,The Verge,-0.22162162162153606
2020-03-31,The Verge,-0.35322195704046744
2016-01-31,TechCrunch,-0.008631319358812728
2016-02-29,TechCrunch,-0.029523809523795463
2016-03-31,TechCrunch,-0.11243689765942523
2016-04-30,TechCrunch,-0.04894548348585398
2016-05-31,TechCrunch,-0.023728813559310544
2016-06-30,TechCrunch,-0.054368203974482804
2016-07-31,TechCrunch,-0.09531717037525894
2016-08-31,TechCrunch,0.06353135313528732
2016-09-30,TechCrunch,-0.01139896373056601
2016-10-31,TechCrunch,-0.1492204899776729
2016-11-30,TechCrunch,-0.029193899782122355
2016-12-31,TechCrunch,-0.05622932745311123
2017-01-31,TechCrunch,-0.012569832402230249
2017-02-28,TechCrunch,-0.09268707482989257
2017-03-31,TechCrunch,-0.03149606299211048
2017-04-30,TechCrunch,-0.042396313364035765
2017-05-31,TechCrunch,-0.10068846815830435
2017-06-30,TechCrunch,0.02092050209203927
2017-07-31,TechCrunch,-0.09615384615379478
2017-08-31,TechCrunch,-0.12290909090904621
2017-09-30,TechCrunch,-0.07327433628315991
2017-10-31,TechCrunch,-0.07926078028744178
2017-11-30,TechCrunch,-0.10913500404199307
2017-12-31,TechCrunch,-0.14066193853419584
2018-01-31,TechCrunch,-0.05282005371528522
2018-02-28,TechCrunch,-0.14015618577881622
2018-03-31,TechCrunch,-0.11166875784186045
2018-04-30,TechCrunch,-0.12320112320107995
2018-05-31,TechCrunch,-0.06415478615068017
2018-06-30,TechCrunch,-0.01775804661486251
2018-07-31,TechCrunch,-0.23381877022644262
2018-08-31,TechCrunch,-0.06118803037067388
2018-09-30,TechCrunch,-0.2450462351386245
2018-10-31,TechCrunch,-0.02409146590444096
2018-11-30,TechCrunch,-0.1253744116387996
2018-12-31,TechCrunch,-0.2179226069245548
2019-01-31,TechCrunch,-0.19138561560333547
2019-02-28,TechCrunch,-0.15618661257600155
2019-03-31,TechCrunch,-0.18887147335415796
2019-04-30,TechCrunch,-0.11999999999995294
2019-05-31,TechCrunch,-0.2385650224214177
2019-06-30,TechCrunch,-0.0960715674834321
2019-07-31,TechCrunch,-0.1432058584214226
2019-08-31,TechCrunch,-0.15268817204292867
2019-09-30,TechCrunch,-0.0773006134969009
2019-10-31,TechCrunch,-0.054256314312416155
2019-11-30,TechCrunch,-0.1649808161841071
2019-12-31,TechCrunch,-0.06166868198303406
2020-01-31,TechCrunch,-0.14023457419676683
2020-02-29,TechCrunch,-0.14159682399640866
2020-03-31,TechCrunch,-0.23134051243957246
2016-01-31,TMZ,-0.6165289256188157
2016-02-29,TMZ,-0.5692307692297962
2016-03-31,TMZ,-0.5933147632303715
2016-04-30,TMZ,-0.5139860139851155
2016-05-31,TMZ,-0.5679012345670249
2016-06-30,TMZ,-0.65256797582983
2016-07-31,TMZ,-0.6369426751582214
2016-08-31,TMZ,-0.6748166259160455
2016-09-30,TMZ,-0.7177177177166401
2016-10-31,TMZ,-0.6842105263148661
2016-11-30,TMZ,-0.5662251655619764
2016-12-31,TMZ,-0.5288303130139558
2017-01-31,TMZ,-0.5233333333324611
2017-02-28,TMZ,-0.5060240963845261
2017-03-31,TMZ,-0.5534506089302389
2017-04-30,TMZ,-0.593939393938494
2017-05-31,TMZ,-0.49774436090150714
2017-06-30,TMZ,-0.572359843545538
2017-07-31,TMZ,-0.6027027027018882
2017-08-31,TMZ,-0.5907514450860223
